,Date,Week,count_0,count_1,count_2,rate_0,rate_1,rate_2
29,2020-12-21,Monday,30,51,76,0.1910828025477707,0.3248407643312102,0.4840764331210191
30,2020-12-22,Tuesday,0,0,1,0.0,0.0,1.0
31,2020-12-23,Wednesday,30,41,108,0.16759776536312848,0.22905027932960895,0.6033519553072626
32,2020-12-24,Thursday,22,48,78,0.14864864864864866,0.32432432432432434,0.527027027027027
33,2020-12-25,Friday,0,1,0,0.0,1.0,0.0
34,2020-12-26,Saturday,20,26,49,0.21052631578947367,0.2736842105263158,0.5157894736842106
35,2020-12-27,Sunday,15,36,102,0.09803921568627451,0.23529411764705882,0.6666666666666666
36,2020-12-28,Monday,26,85,129,0.10833333333333334,0.3541666666666667,0.5375
37,2020-12-29,Tuesday,30,49,90,0.17751479289940827,0.28994082840236685,0.5325443786982249
38,2020-12-30,Wednesday,61,79,118,0.2364341085271318,0.3062015503875969,0.4573643410852713
39,2020-12-31,Thursday,49,72,106,0.21585903083700442,0.31718061674008813,0.4669603524229075
40,2021-01-01,Friday,0,2,0,0.0,1.0,0.0
41,2021-01-02,Saturday,17,15,37,0.2463768115942029,0.21739130434782608,0.5362318840579711
42,2021-01-03,Sunday,10,29,87,0.07936507936507936,0.23015873015873015,0.6904761904761905
43,2021-01-04,Monday,0,0,1,0.0,0.0,1.0
44,2021-01-05,Tuesday,69,119,193,0.18110236220472442,0.3123359580052493,0.5065616797900262
45,2021-01-06,Wednesday,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
46,2021-01-07,Thursday,98,140,169,0.24078624078624078,0.343980343980344,0.4152334152334152
47,2021-01-08,Friday,77,129,142,0.22126436781609196,0.3706896551724138,0.40804597701149425
48,2021-01-09,Saturday,41,82,102,0.18222222222222223,0.36444444444444446,0.4533333333333333
49,2021-01-10,Sunday,39,76,101,0.18055555555555555,0.35185185185185186,0.4675925925925926
50,2021-01-11,Monday,51,97,126,0.18613138686131386,0.354014598540146,0.45985401459854014
51,2021-01-12,Tuesday,68,99,111,0.2446043165467626,0.35611510791366907,0.39928057553956836
52,2021-01-13,Wednesday,59,109,177,0.17101449275362318,0.3159420289855073,0.5130434782608696
53,2021-01-14,Thursday,0,0,1,0.0,0.0,1.0
54,2021-01-15,Friday,68,132,130,0.20606060606060606,0.4,0.3939393939393939
55,2021-01-16,Saturday,39,76,89,0.19117647058823528,0.37254901960784315,0.4362745098039216
56,2021-01-17,Sunday,46,83,156,0.16140350877192983,0.2912280701754386,0.5473684210526316
57,2021-01-18,Monday,52,63,144,0.20077220077220076,0.24324324324324326,0.555984555984556
58,2021-01-19,Tuesday,83,134,239,0.18201754385964913,0.29385964912280704,0.5241228070175439
59,2021-01-20,Wednesday,126,136,211,0.266384778012685,0.28752642706131076,0.44608879492600423
60,2021-01-21,Thursday,89,148,195,0.20601851851851852,0.3425925925925926,0.4513888888888889
61,2021-01-22,Friday,51,100,178,0.15501519756838905,0.303951367781155,0.541033434650456
62,2021-01-23,Saturday,74,111,235,0.1761904761904762,0.2642857142857143,0.5595238095238095
63,2021-01-24,Sunday,0,0,4,0.0,0.0,1.0
64,2021-01-25,Monday,43,81,179,0.1419141914191419,0.26732673267326734,0.5907590759075908
65,2021-01-26,Tuesday,50,60,87,0.25380710659898476,0.30456852791878175,0.4416243654822335
66,2021-01-27,Wednesday,24,49,100,0.13872832369942195,0.2832369942196532,0.5780346820809249
67,2021-01-28,Thursday,81,104,146,0.24471299093655588,0.31419939577039274,0.44108761329305135
68,2021-01-29,Friday,108,123,139,0.2918918918918919,0.3324324324324324,0.37567567567567567
69,2021-01-30,Saturday,19,37,88,0.13194444444444445,0.2569444444444444,0.6111111111111112
70,2021-01-31,Sunday,31,25,95,0.2052980132450331,0.16556291390728478,0.6291390728476821
71,2021-02-01,Monday,35,73,132,0.14583333333333334,0.30416666666666664,0.55
72,2021-02-02,Tuesday,44,67,142,0.17391304347826086,0.2648221343873518,0.5612648221343873
